id,title,year,runtime
tt0003159,"Les Misérables, Part 2: Fantine",1913,300
tt0003160,"El modelo de virtudes",1913,
tt0003162,"Den moderna suffragetten",1913,
tt0003165,"Fantômas: The Dead Man Who Killed",1913,90
tt0003167,"Home, Sweet Home",1914,55
tt0003171,Moths,1913,
tt0003206,"O Naufrágio de Veronese",1913,5
tt0003208,"Nederland en Oranje",1913,
tt0003218,"Novillada de beneficencia en Zaragoza",1913,
tt0003219,"När kärleken dödar",1913,
tt0003227,"The Girl from Abroad; or, The Great Underworld",1913,54
tt0003230,"The Old Armchair",1913,
tt0003240,"On the Steps of the Throne",1913,
tt0003241,"One Hundred Years of Mormonism",1913,90
tt0003243,"The Orphan",1913,
tt0003263,"Pearl's Mistake",1913,
tt0003267,"The Pendleton, Oregon, Round-Up",1913,
tt0003271,"Pesca do Atum no Algarve",1913,
tt0003287,"Pommy Arrives in Australia",1913,
tt0003289,"The Port of Doom",1913,
tt0003294,"Primera comunión de las alumnas de las Escuelas Pías",1913,
tt0003298,"A Princess of Bagdad",1913,
tt0003299,"A Prisoner in the Harem",1913,
tt0003301,"The Prisoner of Zenda",1913,
tt0003305,"The Secret of the Well",1914,
tt0003306,"På livets ödesvägar",1913,57
tt0003309,"Captive Souls",1914,99
tt0003330,"The Life and Works of Richard Wagner",1913,110
tt0003332,"Rick's Redemption",1913,
tt0003334,"The Road to Ruin",1913,
tt0003337,"Robin Hood",1913,
tt0003351,Sapho,1913,
tt0003362,"The Sea Wolf",1913,70
tt0003363,"The Seed of the Fathers",1913,
tt0003365,"Shadows of the Moulin Rouge",1913,
tt0003366,"The Shame of the Empire State",1913,
tt0003367,"The Shattered Vase",1913,
tt0003376,"Silvia Silombra",1913,
tt0003378,"A Sister to Carmen",1913,
tt0003379,"Sixty Years a Queen",1913,
tt0003386,"Sodoms Ende",1913,
tt0003387,"The Sparrow",1914,
tt0003390,"Ein Sommernachtstraum in unserer Zeit",1914,
tt0003394,"Den sorte familie",1914,
tt0003404,"The Star of India",1913,
tt0003406,"Statistinnen des Lebens",1913,
tt0003414,"The Stranglers of Paris",1913,
tt0003419,"The Student of Prague",1913,85
tt0003423,"Die Sumpfblume",1913,53
tt0003431,"Die Tango-Königin",1913,60
tt0003438,"Ten Nights in a Barroom",1913,
tt0003441,"The Terrible Vengeance",1913,
tt0003442,"Tess of the D'Urbervilles",1913,
tt0003449,"The Third Degree",1913,
tt0003456,"Through Fire and Air",1913,
tt0003464,"The Tonopah Stampede for Gold",1913,
tt0003465,"Tonto de la huerta",1913,
tt0003469,"Tortures Within Prison Walls",1913,
tt0003470,"A Tourada dos Casimiros",1913,
tt0003471,"Traffic in Souls",1913,88
tt0003472,"Trampa y cartón",1913,
tt0003489,"The Last Days of Pompeii",1913,88
tt0003493,"Ungarische Rhapsodie",1913,
tt0003502,"A Venetian Night",1914,52
tt0003504,"Der Verführte",1913,
tt0003506,"The Vicar of Wakefield",1913,
tt0003507,"The Vicar of Wakefield",1913,
tt0003508,Victory,1913,
tt0003510,"Volunteer Organist",1913,
tt0003511,"The Vortex of Fate",1913,
